,0,1,2,3,4,5,6,7,8,9,10
202,0.611,0.566,9.0,-11.715,1.0,0.0295,0.425,0.000954,0.878,0.639,125.24
203,0.797,0.814,11.0,-7.229,1.0,0.0382,0.426,3.94e-05,0.581,0.874,149.42
204,0.767,0.854,4.0,-6.947,1.0,0.0426,0.465,2.03e-06,0.485,0.963,149.206
205,0.388,0.564,5.0,-11.531,1.0,0.0484,0.485,0.00989,0.127,0.6,79.294
206,0.508,0.56,9.0,-8.244,1.0,0.0304,0.494,0.00611,0.106,0.386,122.514
207,0.608,0.766,7.0,-6.982,1.0,0.0329,0.21,0.0076,0.0862,0.797,116.118
208,0.445,0.446,1.0,-9.661,1.0,0.025,0.478,0.0221,0.115,0.216,71.583
209,0.361,0.901,9.0,-5.836,1.0,0.0336,0.00189,0.203,0.276,0.629,96.391
210,0.562,0.35,7.0,-11.2,1.0,0.0265,0.738,0.00156,0.103,0.214,139.517
211,0.744,0.882,4.0,-5.754,1.0,0.043,0.394,2.72e-06,0.661,0.963,149.252
212,0.272,0.661,7.0,-7.604,1.0,0.0266,0.00211,0.142,0.0579,0.281,144.332
213,0.555,0.639,2.0,-6.832,1.0,0.033,0.137,1.98e-05,0.0733,0.518,125.77
214,0.559,0.388,10.0,-10.389,0.0,0.0311,0.724,0.0638,0.13,0.44,117.334
215,0.438,0.58,11.0,-9.543,0.0,0.0279,0.0779,0.405,0.126,0.482,89.746
216,0.544,0.474,1.0,-8.875,0.0,0.0279,0.296,0.0115,0.0993,0.164,121.716
217,0.448,0.736,4.0,-9.324,1.0,0.0391,0.00129,6.52e-05,0.33,0.78,131.14
218,0.643,0.633,2.0,-8.788,1.0,0.0316,0.303,0.0,0.119,0.228,115.246
219,0.349,0.84,7.0,-6.551,1.0,0.0292,0.00355,0.00953,0.742,0.688,134.219
220,0.542,0.643,11.0,-7.864,0.0,0.0296,0.0303,0.00707,0.105,0.788,136.674
221,0.277,0.651,9.0,-7.645,1.0,0.0386,0.0825,0.00289,0.0664,0.365,135.239
222,0.716,0.679,11.0,-9.088,0.0,0.0405,0.0735,0.00106,0.0506,0.505,107.169
223,0.564,0.857,7.0,-6.003,1.0,0.0681,0.00919,0.876,0.282,0.716,152.488
224,0.626,0.68,0.0,-6.834,1.0,0.0231,0.0984,0.00116,0.329,0.456,97.216
225,0.239,0.889,11.0,-6.406,1.0,0.0485,0.0352,0.0,0.141,0.889,180.478
226,0.625,0.683,7.0,-12.494,1.0,0.0455,0.0955,0.000418,0.305,0.722,95.628
227,0.427,0.313,4.0,-12.015,1.0,0.0315,0.307,0.000109,0.103,0.472,87.243
228,0.365,0.332,7.0,-11.87,1.0,0.0309,0.591,0.00372,0.0911,0.099,124.019
